エドモントンの首都はどの国または州ですか？答えは： アルバータ州
アンカラの首都はどの国または州ですか？答えは： トルコ
アムステルダムの首都はどの国または州ですか？答えは： オランダ
バクーの首都はどの国または州ですか？答えは： アゼルバイジャン
カイロの首都はどの国または州ですか？答えは： エジプト
コペンハーゲンの首都はどの国または州ですか？答えは： デンマーク
バルセロナの首都はどの国または州ですか？答えは： カタルーニャ州
ブエノスアイレスの首都はどの国または州ですか？答えは： アルゼンチン
ミュンヘンの首都はどの国または州ですか？答えは： バイエルン自由州
フィレンツェの首都はどの国または州ですか？答えは： トスカーナ州
ローマの首都はどの国または州ですか？答えは： イタリア
アルジェの首都はどの国または州ですか？答えは： アルジェリア
トリポリの首都はどの国または州ですか？答えは： リビア
キャンベラの首都はどの国または州ですか？答えは： オーストラリア
ウィントフックの首都はどの国または州ですか？答えは： ナミビア
イラクリオンの首都はどの国または州ですか？答えは： クレタ島
バグダードの首都はどの国または州ですか？答えは： イラク
エディンバラの首都はどの国または州ですか？答えは： スコットランド
カーブルの首都はどの国または州ですか？答えは： アフガニスタン
ボンの首都はどの国または州ですか？答えは： ドイツ
ベルリンの首都はどの国または州ですか？答えは： ドイツ
ポルトノボの首都はどの国または州ですか？答えは： ベナン
ハボローネの首都はどの国または州ですか？答えは： ボツワナ
パリの首都はどの国または州ですか？答えは： フランス
ムンバイの首都はどの国または州ですか？答えは： マハーラーシュトラ州
オスロの首都はどの国または州ですか？答えは： ノルウェー
エルサレムの首都はどの国または州ですか？答えは： ユダ王国
ビシュケクの首都はどの国または州ですか？答えは： キルギス
ブカレストの首都はどの国または州ですか？答えは： ルーマニア
メルボルンの首都はどの国または州ですか？答えは： ビクトリア州
北京市の首都はどの国または州ですか？答えは： 中華民国
重慶市の首都はどの国または州ですか？答えは： 中華民国
ハバナの首都はどの国または州ですか？答えは： キューバ
デンバーの首都はどの国または州ですか？答えは： コロラド州
モガディシュの首都はどの国または州ですか？答えは： ソマリア
カーディフの首都はどの国または州ですか？答えは： ウェールズ
ダブリンの首都はどの国または州ですか？答えは： アイルランド
チュニスの首都はどの国または州ですか？答えは： チュニジア
リオデジャネイロの首都はどの国または州ですか？答えは： ブラジル
バレッタの首都はどの国または州ですか？答えは： マルタ
ロンドンの首都はどの国または州ですか？答えは： イングランド
ラバトの首都はどの国または州ですか？答えは： モロッコ
リガの首都はどの国または州ですか？答えは： ラトビア
ダマスカスの首都はどの国または州ですか？答えは： シリア
ダルエスサラームの首都はどの国または州ですか？答えは： タンザニア
ロンドンの首都はどの国または州ですか？答えは： イングランド王国
ストックホルムの首都はどの国または州ですか？答えは： スウェーデン
ヘルシンキの首都はどの国または州ですか？答えは： フィンランド
プラハの首都はどの国または州ですか？答えは： ボヘミア
インディアナポリスの首都はどの国または州ですか？答えは： インディアナ州
マドリードの首都はどの国または州ですか？答えは： スペイン
グアテマラシティの首都はどの国または州ですか？答えは： グアテマラ
ワルシャワの首都はどの国または州ですか？答えは： ポーランド
広州市の首都はどの国または州ですか？答えは： 広東省
ドレスデンの首都はどの国または州ですか？答えは： ザクセン州
ポルトープランスの首都はどの国または州ですか？答えは： ハイチ
アテネの首都はどの国または州ですか？答えは： ギリシャ
ホバートの首都はどの国または州ですか？答えは： タスマニア州
タリンの首都はどの国または州ですか？答えは： エストニア
東京都の首都はどの国または州ですか？答えは： 日本
ウィーンの首都はどの国または州ですか？答えは： オーストリア
リュブリャナの首都はどの国または州ですか？答えは： スロベニア
エルサレムの首都はどの国または州ですか？答えは： イスラエル
ジャカルタの首都はどの国または州ですか？答えは： インドネシア
トリノの首都はどの国または州ですか？答えは： ピエモンテ州
ナイロビの首都はどの国または州ですか？答えは： ケニア
